team	opn	home	won	pts	date	name	rank
NYK	BOS	false	false	16	1988-04-29	Patrick Ewing	3
NYK	BOS	false	false	18	1988-05-01	Patrick Ewing	3
NYK	BOS	true	true	31	1988-05-04	Patrick Ewing	3
NYK	BOS	true	false	10	1988-05-06	Patrick Ewing	3
NYK	PHL	true	true	26	1989-04-27	Patrick Ewing	3
NYK	PHL	true	true	17	1989-04-29	Patrick Ewing	3
NYK	PHL	false	true	8	1989-05-02	Patrick Ewing	3
NYK	CHI	true	false	22	1989-05-09	Patrick Ewing	2
NYK	CHI	true	true	23	1989-05-11	Patrick Ewing	2
NYK	CHI	false	false	19	1989-05-13	Patrick Ewing	2
NYK	CHI	false	false	10	1989-05-14	Patrick Ewing	2
NYK	CHI	true	true	32	1989-05-16	Patrick Ewing	2
NYK	CHI	false	false	22	1989-05-19	Patrick Ewing	2
NYK	BOS	false	false	22	1990-04-26	Patrick Ewing	3
NYK	BOS	false	false	28	1990-04-28	Patrick Ewing	3
NYK	BOS	true	true	33	1990-05-02	Patrick Ewing	3
NYK	BOS	true	true	44	1990-05-04	Patrick Ewing	3
NYK	BOS	false	true	31	1990-05-06	Patrick Ewing	3
NYK	DET	false	false	19	1990-05-08	Patrick Ewing	2
NYK	DET	false	false	20	1990-05-10	Patrick Ewing	2
NYK	DET	true	true	45	1990-05-12	Patrick Ewing	2
NYK	DET	true	false	30	1990-05-13	Patrick Ewing	2
NYK	DET	false	false	22	1990-05-15	Patrick Ewing	2
NYK	CHI	false	false	6	1991-04-25	Patrick Ewing	3
NYK	CHI	false	false	24	1991-04-28	Patrick Ewing	3
NYK	CHI	true	false	20	1991-04-30	Patrick Ewing	3
NYK	DET	true	true	24	1992-04-24	Patrick Ewing	3
NYK	DET	true	false	12	1992-04-26	Patrick Ewing	3
NYK	DET	false	true	32	1992-04-28	Patrick Ewing	3
NYK	DET	false	false	18	1992-05-01	Patrick Ewing	3
NYK	DET	true	true	31	1992-05-03	Patrick Ewing	3
NYK	CHI	false	true	34	1992-05-05	Patrick Ewing	2
NYK	CHI	false	false	16	1992-05-07	Patrick Ewing	2
NYK	CHI	true	false	27	1992-05-09	Patrick Ewing	2
NYK	CHI	true	true	15	1992-05-10	Patrick Ewing	2
NYK	CHI	false	false	14	1992-05-12	Patrick Ewing	2
NYK	CHI	true	true	27	1992-05-14	Patrick Ewing	2
NYK	CHI	false	false	22	1992-05-17	Patrick Ewing	2
NYK	IND	true	true	25	1993-04-30	Patrick Ewing	3
NYK	IND	true	true	25	1993-05-02	Patrick Ewing	3
NYK	IND	false	false	19	1993-05-04	Patrick Ewing	3
NYK	IND	false	true	28	1993-05-06	Patrick Ewing	3
NYK	CHH	true	true	33	1993-05-09	Patrick Ewing	2
NYK	CHH	true	true	34	1993-05-12	Patrick Ewing	2
NYK	CHH	false	false	26	1993-05-14	Patrick Ewing	2
NYK	CHH	false	true	28	1993-05-16	Patrick Ewing	2
NYK	CHH	true	true	9	1993-05-18	Patrick Ewing	2
NYK	CHI	true	true	25	1993-05-23	Patrick Ewing	1
NYK	CHI	true	true	26	1993-05-25	Patrick Ewing	1
NYK	CHI	false	false	21	1993-05-29	Patrick Ewing	1
NYK	CHI	false	false	24	1993-05-31	Patrick Ewing	1
NYK	CHI	true	false	33	1993-06-02	Patrick Ewing	1
NYK	CHI	false	false	26	1993-06-04	Patrick Ewing	1
NYK	NJN	true	true	25	1994-04-29	Patrick Ewing	3
NYK	NJN	true	true	11	1994-05-01	Patrick Ewing	3
NYK	NJN	false	false	27	1994-05-04	Patrick Ewing	3
NYK	NJN	false	true	36	1994-05-06	Patrick Ewing	3
NYK	CHI	true	true	18	1994-05-08	Patrick Ewing	2
NYK	CHI	true	true	26	1994-05-11	Patrick Ewing	2
NYK	CHI	false	false	34	1994-05-13	Patrick Ewing	2
NYK	CHI	false	false	18	1994-05-15	Patrick Ewing	2
NYK	CHI	true	true	20	1994-05-18	Patrick Ewing	2
NYK	CHI	false	false	26	1994-05-20	Patrick Ewing	2
